iter	Passed	Remaining
0	54	16228
1	104	15570
2	165	16404
3	202	14985
4	242	14290
5	284	13938
6	331	13894
7	372	13595
8	417	13494
9	455	13207
10	494	12986
11	534	12824
12	571	12619
13	610	12463
14	646	12275
15	683	12127
16	722	12020
17	761	11927
18	801	11854
19	840	11763
20	879	11689
21	916	11583
22	951	11462
23	987	11361
24	1021	11234
25	1059	11160
26	1100	11125
27	1136	11038
28	1173	10970
29	1214	10927
30	1260	10935
31	1309	10965
32	1347	10904
33	1384	10828
34	1425	10792
35	1462	10727
36	1502	10680
37	1548	10673
38	1592	10655
39	1633	10620
40	1680	10615
41	1725	10599
42	1762	10535
43	1799	10468
44	1835	10400
45	1881	10388
46	1918	10325
47	1957	10275
48	1993	10209
49	2030	10154
50	2072	10117
51	2109	10059
52	2149	10015
53	2188	9969
54	2223	9906
55	2265	9869
56	2305	9827
57	2339	9760
58	2379	9719
59	2424	9696
60	2459	9635
61	2500	9597
62	2548	9586
63	2589	9548
64	2628	9503
65	2660	9432
66	2697	9380
67	2742	9356
68	2781	9312
69	2822	9272
70	2861	9229
71	2898	9179
72	2936	9132
73	2976	9090
74	3016	9050
75	3060	9020
76	3098	8973
77	3134	8920
78	3173	8877
79	3221	8860
80	3260	8814
81	3301	8777
82	3341	8735
83	3397	8737
84	3438	8696
85	3479	8658
86	3517	8612
87	3557	8569
88	3596	8527
89	3633	8477
90	3672	8435
91	3712	8392
92	3751	8349
93	3789	8304
94	3825	8254
95	3872	8230
96	3920	8205
97	3959	8162
98	4011	8143
99	4058	8117
100	4105	8088
101	4146	8049
102	4194	8022
103	4233	7978
104	4268	7927
105	4308	7885
106	4344	7835
107	4384	7793
108	4425	7754
109	4470	7721
110	4518	7693
111	4554	7644
112	4594	7603
113	4639	7569
114	4677	7524
115	4724	7493
116	4761	7447
117	4801	7405
118	4844	7368
119	4890	7335
120	4930	7293
121	4967	7248
122	5012	7213
123	5058	7179
124	5101	7141
125	5138	7096
126	5183	7060
127	5226	7023
128	5262	6976
129	5301	6932
130	5342	6891
131	5388	6858
132	5427	6814
133	5467	6772
134	5515	6740
135	5556	6700
136	5596	6658
137	5629	6608
138	5665	6562
139	5702	6516
140	5738	6471
141	5776	6427
142	5813	6382
143	5848	6335
144	5883	6289
145	5922	6246
146	5957	6200
147	6015	6177
148	6059	6140
149	6096	6096
150	6135	6054
151	6181	6018
152	6227	5982
153	6262	5937
154	6307	5900
155	6345	5857
156	6379	5810
157	6414	5764
158	6448	5718
159	6483	5672
160	6517	5626
161	6552	5581
162	6588	5537
163	6623	5492
164	6657	5446
165	6698	5406
166	6735	5364
167	6774	5323
168	6813	5281
169	6852	5240
170	6892	5199
171	6929	5156
172	6964	5112
173	7009	5075
174	7049	5035
175	7086	4992
176	7119	4947
177	7154	4903
178	7194	4863
179	7237	4824
180	7272	4781
181	7312	4741
182	7353	4701
183	7391	4659
184	7427	4616
185	7462	4573
186	7500	4532
187	7537	4490
188	7574	4448
189	7606	4404
190	7643	4362
191	7672	4315
192	7709	4274
193	7747	4233
194	7786	4192
195	7827	4153
196	7867	4113
197	7906	4073
198	7944	4032
199	7990	3995
200	8040	3960
201	8082	3921
202	8118	3879
203	8154	3837
204	8199	3799
205	8238	3759
206	8279	3719
207	8319	3679
208	8371	3644
209	8410	3604
210	8449	3563
211	8485	3522
212	8518	3479
213	8555	3438
214	8594	3397
215	8636	3358
216	8677	3319
217	8721	3280
218	8760	3240
219	8798	3199
220	8841	3160
221	8883	3121
222	8925	3082
223	8969	3043
224	9006	3002
225	9050	2963
226	9093	2924
227	9131	2883
228	9166	2842
229	9210	2803
230	9248	2762
231	9291	2723
232	9340	2685
233	9383	2646
234	9423	2606
235	9461	2565
236	9499	2525
237	9542	2485
238	9586	2446
239	9624	2406
240	9666	2366
241	9709	2327
242	9751	2287
243	9793	2247
244	9833	2207
245	9874	2167
246	9911	2126
247	9953	2087
248	9990	2046
249	10035	2007
250	10076	1967
251	10113	1926
252	10152	1886
253	10189	1845
254	10221	1803
255	10260	1763
256	10295	1722
257	10343	1683
258	10388	1644
259	10428	1604
260	10467	1564
261	10502	1523
262	10540	1482
263	10577	1442
264	10613	1401
265	10650	1361
266	10685	1320
267	10724	1280
268	10773	1241
269	10821	1202
270	10861	1162
271	10899	1121
272	10936	1081
273	10979	1041
274	11023	1002
275	11059	961
276	11097	921
277	11136	881
278	11175	841
279	11216	801
280	11253	760
281	11289	720
282	11327	680
283	11367	640
284	11407	600
285	11444	560
286	11484	520
287	11523	480
288	11558	439
289	11594	399
290	11628	359
291	11666	319
292	11701	279
293	11739	239
294	11778	199
295	11815	159
296	11850	119
297	11891	79
298	11930	39
299	11970	0
